Country,Location_Type,MT,Cost Centre,Grade,Jan_HC,Feb_HC,Mar_HC,Apr_HC,May_HC,Jun_HC,Jul_HC,Aug_HC,Sep_HC,Oct_HC,Nov_HC,Dec_HC,Jan_Budget,Feb_Budget,Mar_Budget,Apr_Budget,May_Budget,Jun_Budget,Jul_Budget,Aug_Budget,Sep_Budget,Oct_Budget,Nov_Budget,Dec_Budget,Dec_Variance
UAE,Onshore,CIB,CIB_UAE_1001,B6,5,4,4,4,5,6,5,4,6,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
US,Onshore,T&O,T&O_US_1001,B4,4,2,4,3,3,3,2,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,S&T,S&T_UAE_1000,B4,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
US,Onshore,Risk,Risk_US_1000,B4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,WRB,WRB_IN_1000,B7,3,2,2,3,1,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UAE,Onshore,T&O,T&O_UAE_1000,B4,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
US,Onshore,CIB,CIB_US_1002,B6,4,2,2,4,4,4,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
GBS IN,Offshore,Risk,Risk_GBS IN_1001,B7,4,3,4,2,4,2,2,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,CIB,CIB_CN_1000,B7,3,4,5,3,4,3,5,3,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
UAE,Onshore,T&O,T&O_UAE_1001,B7,3,3,3,3,4,2,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,CFCR,CFCR_UK_1000,B5,5,5,5,3,3,5,4,5,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
SG,Onshore,T&O,T&O_SG_1005,B6,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
US,Onshore,T&O,T&O_US_1002,B6,5,5,3,3,4,5,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
HK,Onshore,T&O,T&O_HK_1002,B6,3,4,4,3,3,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
CN,Onshore,S&T,S&T_CN_1001,B6,5,4,5,3,4,4,5,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,T&O,T&O_US_1003,B4,3,4,5,3,4,5,3,3,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
IN,Onshore,Risk,Risk_IN_1000,B5,4,3,2,4,3,3,2,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,CIB,CIB_UAE_1002,B4,4,4,3,3,3,2,4,4,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,S&T,S&T_UK_1001,B6,4,3,4,3,4,3,4,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
UAE,Onshore,CFCR,CFCR_UAE_1001,B5,4,4,4,3,2,3,2,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
IN,Onshore,T&O,T&O_IN_1000,B5,2,2,4,4,2,2,2,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UAE,Onshore,S&T,S&T_UAE_1001,B7,3,4,4,3,4,3,2,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,CFCR,CFCR_UK_1001,B6,5,4,4,6,4,5,6,4,5,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
HK,Onshore,T&O,T&O_HK_1003,B6,1,1,2,2,2,3,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
IN,Onshore,CFCR,CFCR_IN_1000,B7,3,3,5,5,4,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
HK,Onshore,S&T,S&T_HK_1001,B6,1,2,1,2,2,2,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
HK,Onshore,CIB,CIB_HK_1000,B4,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,WRB,WRB_SG_1000,B6,3,3,2,4,2,3,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,WRB,WRB_UK_1002,B6,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
US,Onshore,Risk,Risk_US_1001,B7,5,5,5,6,4,6,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
SG,Onshore,WRB,WRB_SG_1001,B6,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,Onshore,T&O,T&O_CN_1002,B7,4,2,4,4,4,4,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,WRB,WRB_UK_1003,B6,2,2,3,3,3,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,T&O,T&O_UAE_1002,B7,6,4,4,4,5,6,6,5,5,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
US,Onshore,CFCR,CFCR_US_1000,MD,3,4,3,3,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
IN,Onshore,T&O,T&O_IN_1001,MD,4,5,6,5,4,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
SG,Onshore,Risk,Risk_SG_1001,B5,6,6,4,6,4,4,5,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UK,Onshore,T&O,T&O_UK_1000,B6,6,4,6,5,6,6,4,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UK,Onshore,T&O,T&O_UK_1001,B7,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GBS IN,Offshore,CIB,CIB_GBS IN_1001,B7,1,2,1,2,1,2,3,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
SG,Onshore,S&T,S&T_SG_1002,B5,3,3,4,2,2,3,2,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
HK,Onshore,T&O,T&O_HK_1004,B5,4,5,4,5,6,4,6,4,5,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UK,Onshore,CFCR,CFCR_UK_1002,B5,2,3,4,3,4,3,4,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,CIB,CIB_UK_1000,B4,5,4,3,3,4,3,5,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
HK,Onshore,S&T,S&T_HK_1002,B6,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
GBS IN,Offshore,S&T,S&T_GBS IN_1000,B5,4,3,4,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,WRB,WRB_UK_1004,B6,3,5,4,3,3,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0
UK,Onshore,T&O,T&O_UK_1002,MD,4,3,4,3,4,4,3,4,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
HK,Onshore,WRB,WRB_HK_1001,B6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
US,Onshore,S&T,S&T_US_1000,B7,2,4,4,3,2,2,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,T&O,T&O_UK_1003,B7,2,3,4,2,3,4,4,4,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,S&T,S&T_UK_1002,B4,3,5,3,5,3,5,3,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
GBS IN,Offshore,T&O,T&O_GBS IN_1001,B6,4,4,4,2,2,3,2,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,S&T,S&T_UAE_1002,B7,5,5,5,5,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
GBS IN,Offshore,CFCR,CFCR_GBS IN_1001,B6,4,2,4,2,4,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
GBS IN,Offshore,WRB,WRB_GBS IN_1001,B4,3,4,2,2,4,2,2,2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,CFCR,CFCR_SG_1000,B6,1,1,3,1,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UK,Onshore,T&O,T&O_UK_1004,B6,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,Onshore,S&T,S&T_CN_1002,B4,4,3,4,2,3,4,3,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,Risk,Risk_SG_1002,B6,6,4,4,4,6,5,5,4,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
HK,Onshore,T&O,T&O_HK_1005,B5,4,3,4,4,2,2,4,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,T&O,T&O_UK_1005,B5,3,4,4,2,4,4,4,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
HK,Onshore,CFCR,CFCR_HK_1000,B4,3,5,5,4,5,4,5,5,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,WRB,WRB_US_1001,B7,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CN,Onshore,T&O,T&O_CN_1003,B7,6,4,5,5,4,5,6,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
GBS IN,Offshore,T&O,T&O_GBS IN_1002,B7,3,3,3,3,5,4,3,3,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
IN,Onshore,WRB,WRB_IN_1001,B7,2,4,3,3,4,2,3,2,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
IN,Onshore,T&O,T&O_IN_1002,B6,5,5,6,4,4,5,5,6,4,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
SG,Onshore,CIB,CIB_SG_1000,B6,2,2,2,3,3,2,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,T&O,T&O_US_1004,B7,4,2,4,2,4,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UAE,Onshore,GCFO,GCFO_UAE_1000,B5,3,5,3,5,4,3,5,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
HK,Onshore,WRB,WRB_HK_1002,B7,3,3,2,3,3,3,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
SG,Onshore,CIB,CIB_SG_1001,MD,2,3,2,1,3,2,2,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
SG,Onshore,WRB,WRB_SG_1002,B7,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HK,Onshore,WRB,WRB_HK_1003,B7,5,4,5,5,3,3,5,3,3,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
IN,Onshore,CIB,CIB_IN_1000,B5,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,CIB,CIB_UK_1001,B4,4,2,4,3,4,4,3,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
GBS IN,Offshore,T&O,T&O_GBS IN_1003,B7,3,2,2,3,3,2,4,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,WRB,WRB_UK_1005,B7,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,S&T,S&T_UK_1003,B5,4,6,5,5,5,4,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
UK,Onshore,T&O,T&O_UK_1006,B6,5,4,5,4,4,5,5,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
US,Onshore,T&O,T&O_US_1005,B5,4,4,2,3,2,4,3,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
IN,Onshore,CIB,CIB_IN_1001,B7,2,3,2,4,3,4,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
GBS IN,Offshore,WRB,WRB_GBS IN_1002,B7,5,6,6,6,6,6,5,4,6,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UAE,Onshore,CFCR,CFCR_UAE_1002,MD,4,2,3,3,4,2,4,4,4,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
CN,Onshore,WRB,WRB_CN_1001,B7,2,2,1,3,3,3,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
GBS IN,Offshore,T&O,T&O_GBS IN_1004,B6,4,2,4,3,3,4,4,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
GBS IN,Offshore,Risk,Risk_GBS IN_1002,B6,3,3,4,4,4,2,3,4,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
US,Onshore,CFCR,CFCR_US_1001,B6,4,4,2,4,4,3,3,4,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
HK,Onshore,CIB,CIB_HK_1001,B6,4,4,4,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,CFCR,CFCR_US_1002,B6,3,4,3,3,2,3,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,T&O,T&O_CN_1004,B5,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,Onshore,WRB,WRB_CN_1002,B6,2,1,3,3,3,2,3,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
US,Onshore,T&O,T&O_US_1006,B7,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,GCFO,GCFO_IN_1000,B5,6,5,5,6,6,5,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,T&O,T&O_CN_1005,B5,2,4,3,3,2,3,3,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
HK,Onshore,GCFO,GCFO_HK_1001,B6,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,CIB,CIB_UK_1002,B6,3,2,2,3,4,3,2,3,2,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,WRB,WRB_SG_1003,B5,4,4,2,3,2,4,2,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
GBS IN,Offshore,S&T,S&T_GBS IN_1001,B6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GBS IN,Offshore,CFCR,CFCR_GBS IN_1002,B5,1,2,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
HK,Onshore,GCFO,GCFO_HK_1002,B5,3,3,3,3,2,2,1,1,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
GBS IN,Offshore,T&O,T&O_GBS IN_1005,B4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,T&O,T&O_SG_1006,B6,5,5,5,4,5,5,6,6,4,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
CN,Onshore,WRB,WRB_CN_1003,MD,4,3,2,4,3,3,4,2,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
SG,Onshore,T&O,T&O_SG_1007,B5,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GBS IN,Offshore,CIB,CIB_GBS IN_1002,B4,4,3,3,2,4,4,3,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,WRB,WRB_UAE_1000,B7,5,5,4,5,5,5,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
UAE,Onshore,Risk,Risk_UAE_1001,B6,3,1,2,1,1,2,3,3,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
SG,Onshore,T&O,T&O_SG_1008,MD,4,4,4,6,6,5,6,6,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,WRB,WRB_CN_1004,MD,2,1,3,2,3,3,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
SG,Onshore,WRB,WRB_SG_1004,B5,3,4,3,2,4,2,3,3,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,T&O,T&O_UK_1007,MD,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,Onshore,S&T,S&T_UAE_1003,B6,5,5,6,5,5,4,6,5,6,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UAE,Onshore,CIB,CIB_UAE_1003,B7,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,CIB,CIB_UAE_1004,B6,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,T&O,T&O_UAE_1003,B6,3,4,3,3,4,5,3,4,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
UAE,Onshore,S&T,S&T_UAE_1004,B5,4,6,4,5,4,4,6,6,5,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UAE,Onshore,GCFO,GCFO_UAE_1001,B6,4,2,4,2,4,2,4,4,2,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
GBS IN,Offshore,Risk,Risk_GBS IN_1003,B6,4,2,2,4,2,3,3,2,2,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
US,Onshore,WRB,WRB_US_1002,B7,4,2,4,2,3,4,3,3,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
US,Onshore,T&O,T&O_US_1007,B7,2,4,2,2,3,2,2,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
SG,Onshore,Risk,Risk_SG_1003,B5,1,3,2,3,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
CN,Onshore,WRB,WRB_CN_1005,B7,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
HK,Onshore,T&O,T&O_HK_1006,B5,5,5,5,3,4,3,5,5,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0
UK,Onshore,WRB,WRB_UK_1006,B4,4,5,4,6,4,6,6,4,6,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
SG,Onshore,T&O,T&O_SG_1009,B6,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,CIB,CIB_IN_1002,B6,1,2,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,Onshore,WRB,WRB_CN_1006,B7,3,3,3,1,3,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
IN,Onshore,Risk,Risk_IN_1001,B4,4,4,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
SG,Onshore,T&O,T&O_SG_1010,B6,2,1,2,3,1,3,2,1,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
SG,Onshore,CIB,CIB_SG_1002,B6,5,5,4,5,4,5,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
GBS IN,Offshore,CFCR,CFCR_GBS IN_1003,B4,6,6,4,6,6,5,4,4,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
HK,Onshore,WRB,WRB_HK_1004,B4,3,4,3,3,2,4,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,WRB,WRB_UAE_1001,B6,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,Onshore,CFCR,CFCR_UAE_1003,B4,1,1,2,2,3,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
SG,Onshore,T&O,T&O_SG_1011,B7,4,3,3,2,2,2,2,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UAE,Onshore,Risk,Risk_UAE_1002,B7,5,5,3,3,4,3,3,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
UK,Onshore,CIB,CIB_UK_1003,B6,4,6,4,6,5,6,5,4,5,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
CN,Onshore,Risk,Risk_CN_1000,B7,6,6,5,6,4,4,6,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
GBS IN,Offshore,Risk,Risk_GBS IN_1004,B6,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,T&O,T&O_IN_1003,B5,1,3,1,3,3,1,3,1,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
CN,Onshore,WRB,WRB_CN_1007,B6,3,2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
