Country,Grade,Annual_Rate_USD,Monthly_Rate_USD
Kenya,MD,136500,11375
Korea,B7,61880,5156.67
Korea,B6,92820,7735
Korea,B5,170170,14180.83
Korea,B4,232050,19337.5
Korea,MD,309400,25783.33
Laos,B7,27300,2275
Laos,B6,40950,3412.5
Laos,B5,75075,6256.25
Laos,B4,102375,8531.25
Laos,MD,136500,11375
Luxembourg,B7,72800,6066.67
Luxembourg,B6,109200,9100
Luxembourg,B5,200200,16683.33
Luxembourg,B4,273000,22750
Luxembourg,MD,364000,30333.33
Macau,B7,61880,5156.67
Macau,B6,92820,7735
Macau,B5,170170,14180.83
Macau,B4,232050,19337.5
Macau,MD,309400,25783.33
Malaysia Onshore,B7,36400,3033.33
Malaysia Onshore,B6,54600,4550
Malaysia Onshore,B5,100100,8341.67
Malaysia Onshore,B4,136500,11375
Malaysia Onshore,MD,182000,15166.67
Mauritius,B7,36400,3033.33
Mauritius,B6,54600,4550
Mauritius,B5,100100,8341.67
Mauritius,B4,136500,11375
Mauritius,MD,182000,15166.67
Myanmar,B7,27300,2275
Myanmar,B6,40950,3412.5
Myanmar,B5,75075,6256.25
Myanmar,B4,102375,8531.25
Myanmar,MD,136500,11375
Nepal,B7,27300,2275
Nepal,B6,40950,3412.5
Nepal,B5,75075,6256.25
Nepal,B4,102375,8531.25
Nepal,MD,136500,11375
Nigeria,B7,27300,2275
Nigeria,B6,40950,3412.5
Nigeria,B5,75075,6256.25
Nigeria,B4,102375,8531.25
Nigeria,MD,136500,11375
Oman,B7,61880,5156.67
Oman,B6,92820,7735
Oman,B5,170170,14180.83
Oman,B4,232050,19337.5
Oman,MD,309400,25783.33
Pakistan,B7,27300,2275
Pakistan,B6,40950,3412.5
Pakistan,B5,75075,6256.25
Pakistan,B4,102375,8531.25
Pakistan,MD,136500,11375
Philippines,B7,27300,2275
Philippines,B6,40950,3412.5
Philippines,B5,75075,6256.25
Philippines,B4,102375,8531.25
Philippines,MD,136500,11375
Poland Onshore,B7,36400,3033.33
Poland Onshore,B6,54600,4550
Poland Onshore,B5,100100,8341.67
Poland Onshore,B4,136500,11375
Poland Onshore,MD,182000,15166.67
Qatar,B7,61880,5156.67
Qatar,B6,92820,7735
Qatar,B5,170170,14180.83
Qatar,B4,232050,19337.5
Qatar,MD,309400,25783.33
Saudi Arabia,B7,61880,5156.67
Saudi Arabia,B6,92820,7735
Saudi Arabia,B5,170170,14180.83
Saudi Arabia,B4,232050,19337.5
Saudi Arabia,MD,309400,25783.33
Singapore,B7,72800,6066.67
Singapore,B6,109200,9100
Singapore,B5,200200,16683.33
Singapore,B4,273000,22750
Singapore,MD,364000,30333.33
South Africa,B7,36400,3033.33
South Africa,B6,54600,4550
South Africa,B5,100100,8341.67
South Africa,B4,136500,11375
South Africa,MD,182000,15166.67
Sri Lanka,B7,27300,2275
Sri Lanka,B6,40950,3412.5
Sri Lanka,B5,75075,6256.25
Sri Lanka,B4,102375,8531.25
Sri Lanka,MD,136500,11375
Sweden,B7,72800,6066.67
Sweden,B6,109200,9100
Sweden,B5,200200,16683.33
Sweden,B4,273000,22750
Sweden,MD,364000,30333.33
Taiwan,B7,61880,5156.67
Taiwan,B6,92820,7735
Taiwan,B5,170170,14180.83
Taiwan,B4,232050,19337.5
Taiwan,MD,309400,25783.33
Tanzania,B7,27300,2275
Tanzania,B6,40950,3412.5
Tanzania,B5,75075,6256.25
Tanzania,B4,102375,8531.25
Tanzania,MD,136500,11375
Thailand,B7,36400,3033.33
Thailand,B6,54600,4550
Thailand,B5,100100,8341.67
Thailand,B4,136500,11375
Thailand,MD,182000,15166.67
Türkiye,B7,36400,3033.33
Türkiye,B6,54600,4550
Türkiye,B5,100100,8341.67
Türkiye,B4,136500,11375
Türkiye,MD,182000,15166.67
UAE,B7,61880,5156.67
UAE,B6,92820,7735
UAE,B5,170170,14180.83
UAE,B4,232050,19337.5
UAE,MD,309400,25783.33
Uganda,B7,27300,2275
Uganda,B6,40950,3412.5
Uganda,B5,75075,6256.25
Uganda,B4,102375,8531.25
Uganda,MD,136500,11375
UK,B7,72800,6066.67
UK,B6,109200,9100
UK,B5,200200,16683.33
UK,B4,273000,22750
UK,MD,364000,30333.33
US,B7,72800,6066.67
US,B6,109200,9100
US,B5,200200,16683.33
US,B4,273000,22750
US,MD,364000,30333.33
Vietnam,B7,27300,2275
Vietnam,B6,40950,3412.5
Vietnam,B5,75075,6256.25
Vietnam,B4,102375,8531.25
Vietnam,MD,136500,11375
Zambia,B7,27300,2275
Zambia,B6,40950,3412.5
Zambia,B5,75075,6256.25
Zambia,B4,102375,8531.25
Zambia,MD,136500,11375
India GBS,B7,21840,1820
India GBS,B6,32760,2730
India GBS,B5,60060,5005
India GBS,B4,81900,6825
India GBS,MD,109200,9100
China GBS,B7,21840,1820
China GBS,B6,32760,2730
China GBS,B5,60060,5005
China GBS,B4,81900,6825
China GBS,MD,109200,9100
Malaysia GBS,B7,21840,1820
Malaysia GBS,B6,32760,2730
Malaysia GBS,B5,60060,5005
Malaysia GBS,B4,81900,6825
Malaysia GBS,MD,109200,9100
Poland GBS,B7,21840,1820
Poland GBS,B6,32760,2730
Poland GBS,B5,60060,5005
Poland GBS,B4,81900,6825
Poland GBS,MD,109200,9100
